variable name,long name,CF convention,dimensions,output frequency
PRECSC_LAT65Ss,Convective snow rate (water equivalent) for LAT65Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT75Ns,Convective snow rate (water equivalent) for LAT75Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT75Ss,Convective snow rate (water equivalent) for LAT75Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT85Ns,Convective snow rate (water equivalent) for LAT85Ns,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LAT85Ss,Convective snow rate (water equivalent) for LAT85Ss,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON05Es,Convective snow rate (water equivalent) for LON05Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON105Es,Convective snow rate (water equivalent) for LON105Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON115Es,Convective snow rate (water equivalent) for LON115Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON125Es,Convective snow rate (water equivalent) for LON125Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON135Es,Convective snow rate (water equivalent) for LON135Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON145Es,Convective snow rate (water equivalent) for LON145Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON155Es,Convective snow rate (water equivalent) for LON155Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON15Es,Convective snow rate (water equivalent) for LON15Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON165Es,Convective snow rate (water equivalent) for LON165Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON175Es,Convective snow rate (water equivalent) for LON175Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON185Es,Convective snow rate (water equivalent) for LON185Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON195Es,Convective snow rate (water equivalent) for LON195Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON205Es,Convective snow rate (water equivalent) for LON205Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON215Es,Convective snow rate (water equivalent) for LON215Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON225Es,Convective snow rate (water equivalent) for LON225Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON235Es,Convective snow rate (water equivalent) for LON235Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON245Es,Convective snow rate (water equivalent) for LON245Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON255Es,Convective snow rate (water equivalent) for LON255Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON25Es,Convective snow rate (water equivalent) for LON25Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON265Es,Convective snow rate (water equivalent) for LON265Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON275Es,Convective snow rate (water equivalent) for LON275Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON285Es,Convective snow rate (water equivalent) for LON285Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON295Es,Convective snow rate (water equivalent) for LON295Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON305Es,Convective snow rate (water equivalent) for LON305Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON315Es,Convective snow rate (water equivalent) for LON315Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON325Es,Convective snow rate (water equivalent) for LON325Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON335Es,Convective snow rate (water equivalent) for LON335Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON345Es,Convective snow rate (water equivalent) for LON345Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON355Es,Convective snow rate (water equivalent) for LON355Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON35Es,Convective snow rate (water equivalent) for LON35Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON45Es,Convective snow rate (water equivalent) for LON45Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON55Es,Convective snow rate (water equivalent) for LON55Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON65Es,Convective snow rate (water equivalent) for LON65Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON75Es,Convective snow rate (water equivalent) for LON75Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON85Es,Convective snow rate (water equivalent) for LON85Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSC_LON95Es,Convective snow rate (water equivalent) for LON95Es,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL,Large-scale (stable) snow rate (water equivalent),large_scale_snowfall_flux,"[lat, lon]",[month]
PRECSL_H216OS,Large-scale (stable) snow rate (water equivalent) for H216OS,snowfall_flux,"[lat, lon]",[month]
PRECSL_H218OS,Large-scale (stable) snow rate (water equivalent) for H218OS,snowfall_flux,"[lat, lon]",[month]
PRECSL_H2OS,Large-scale (stable) snow rate (water equivalent) for H2OS,snowfall_flux,"[lat, lon]",[month]
PRECSL_HDOS,Large-scale (stable) snow rate (water equivalent) for HDOS,snowfall_flux,"[lat, lon]",[month]
PRECSL_LAT05NS,Large-scale (stable) snow rate (water equivalent) for LAT05NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT05SS,Large-scale (stable) snow rate (water equivalent) for LAT05SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT15NS,Large-scale (stable) snow rate (water equivalent) for LAT15NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT15SS,Large-scale (stable) snow rate (water equivalent) for LAT15SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT25NS,Large-scale (stable) snow rate (water equivalent) for LAT25NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT25SS,Large-scale (stable) snow rate (water equivalent) for LAT25SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT35NS,Large-scale (stable) snow rate (water equivalent) for LAT35NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT35SS,Large-scale (stable) snow rate (water equivalent) for LAT35SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT45NS,Large-scale (stable) snow rate (water equivalent) for LAT45NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT45SS,Large-scale (stable) snow rate (water equivalent) for LAT45SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT55NS,Large-scale (stable) snow rate (water equivalent) for LAT55NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT55SS,Large-scale (stable) snow rate (water equivalent) for LAT55SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT65NS,Large-scale (stable) snow rate (water equivalent) for LAT65NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT65SS,Large-scale (stable) snow rate (water equivalent) for LAT65SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT75NS,Large-scale (stable) snow rate (water equivalent) for LAT75NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT75SS,Large-scale (stable) snow rate (water equivalent) for LAT75SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT85NS,Large-scale (stable) snow rate (water equivalent) for LAT85NS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LAT85SS,Large-scale (stable) snow rate (water equivalent) for LAT85SS,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON05ES,Large-scale (stable) snow rate (water equivalent) for LON05ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON105ES,Large-scale (stable) snow rate (water equivalent) for LON105ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON115ES,Large-scale (stable) snow rate (water equivalent) for LON115ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON125ES,Large-scale (stable) snow rate (water equivalent) for LON125ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON135ES,Large-scale (stable) snow rate (water equivalent) for LON135ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON145ES,Large-scale (stable) snow rate (water equivalent) for LON145ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON155ES,Large-scale (stable) snow rate (water equivalent) for LON155ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON15ES,Large-scale (stable) snow rate (water equivalent) for LON15ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON165ES,Large-scale (stable) snow rate (water equivalent) for LON165ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON175ES,Large-scale (stable) snow rate (water equivalent) for LON175ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON185ES,Large-scale (stable) snow rate (water equivalent) for LON185ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON195ES,Large-scale (stable) snow rate (water equivalent) for LON195ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON205ES,Large-scale (stable) snow rate (water equivalent) for LON205ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON215ES,Large-scale (stable) snow rate (water equivalent) for LON215ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON225ES,Large-scale (stable) snow rate (water equivalent) for LON225ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON235ES,Large-scale (stable) snow rate (water equivalent) for LON235ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON245ES,Large-scale (stable) snow rate (water equivalent) for LON245ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON255ES,Large-scale (stable) snow rate (water equivalent) for LON255ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON25ES,Large-scale (stable) snow rate (water equivalent) for LON25ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON265ES,Large-scale (stable) snow rate (water equivalent) for LON265ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON275ES,Large-scale (stable) snow rate (water equivalent) for LON275ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON285ES,Large-scale (stable) snow rate (water equivalent) for LON285ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON295ES,Large-scale (stable) snow rate (water equivalent) for LON295ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON305ES,Large-scale (stable) snow rate (water equivalent) for LON305ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON315ES,Large-scale (stable) snow rate (water equivalent) for LON315ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON325ES,Large-scale (stable) snow rate (water equivalent) for LON325ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON335ES,Large-scale (stable) snow rate (water equivalent) for LON335ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON345ES,Large-scale (stable) snow rate (water equivalent) for LON345ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON355ES,Large-scale (stable) snow rate (water equivalent) for LON355ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON35ES,Large-scale (stable) snow rate (water equivalent) for LON35ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON45ES,Large-scale (stable) snow rate (water equivalent) for LON45ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON55ES,Large-scale (stable) snow rate (water equivalent) for LON55ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON65ES,Large-scale (stable) snow rate (water equivalent) for LON65ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON75ES,Large-scale (stable) snow rate (water equivalent) for LON75ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON85ES,Large-scale (stable) snow rate (water equivalent) for LON85ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECSL_LON95ES,Large-scale (stable) snow rate (water equivalent) for LON95ES,snowfall_flux,"[lat, lon]","[month, day]"
PRECT_H216O,Total (convective and large-scale) precipitation rate (liq + ice) for H216O,precipitation_flux,"[lat, lon]",[day]
PRECT_H218O,Total (convective and large-scale) precipitation rate (liq + ice) for H218O,precipitation_flux,"[lat, lon]",[day]
PRECT_H2O,Total (convective and large-scale) precipitation rate (liq + ice) for H2O,precipitation_flux,"[lat, lon]",[day]
PRECT_HDO,Total (convective and large-scale) precipitation rate (liq + ice) for HDO,precipitation_flux,"[lat, lon]",[day]
PS,Surface pressure,surface_air_pressure,"[lat, lon]","[month, day]"
PSL,Sea level pressure,air_pressure_at_sea_level,"[lat, lon]",[month]
Q,Specific humidity,specific_humidity,"[lat, lon, lev]",[month]
QFLX,Surface water flux,water_evaporation_flux,"[lat, lon]",[month]
QFLX_H216O,Surface water flux for H216O,water_evaporation_flux,"[lat, lon]","[month, day]"
QFLX_H218O,Surface water flux for H218O,water_evaporation_flux,"[lat, lon]","[month, day]"
QFLX_H2O,Surface water flux for H2O,water_evaporation_flux,"[lat, lon]","[month, day]"
QFLX_HDO,Surface water flux for HDO,water_evaporation_flux,"[lat, lon]","[month, day]"
QRL,Longwave heating rate,tendency_of_air_temperature_due_to_longwave_heating,"[lat, lon, lev]",[month]
QRS,Solar heating rate,tendency_of_air_temperature_due_to_shortwave_heating,"[lat, lon, lev]",[month]
SHFLX,Surface sensible heat flux,surface_upward_sensible_heat_flux,"[lat, lon]",[month]
SOLIN,Solar insolation,toa_incoming_shortwave_flux,"[lat, lon]",[month]
SWCF,Shortwave cloud forcing,toa_shortwave_cloud_forcing,"[lat, lon]",[month]
T,Temperature,air_temperature,"[lat, lon, lev]","[month, day]"
TMQ,Total (vertically integrated) precipitable water,atmosphere_mass_content_of_water_vapor,"[lat, lon]",[month]
TREFHT,Reference height temperature,air_temperature,"[lat, lon]",[month]
TS,Surface temperature (radiative),surface_temperature,"[lat, lon]",[month]
U,Zonal wind,eastward_wind,"[lat, lon, lev]","[month, day]"
V,Meridional wind,northward_wind,"[lat, lon, lev]","[month, day]"
WSUB,Diagnostic sub-grid vertical velocity,upward_air_velocity,"[lat, lon, lev]",[month]
Z3,Geopotential Height (above sea level),geopotential_height,"[lat, lon, lev]",[month]
